                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7813,                 2.7763,                 1.4303,                0.76798,                0.68608,                 0.7503,                0.41926,                 1.6109,                 1.4681,                 1.3688,             0.00022118,             0.00022118,             0.00022118
                      2,                  1.466,                 1.4183,                 1.2314,                0.79866,                0.73178,                 0.7999,                0.46238,                 1.5373,                 1.3757,                 1.3344,             0.00042156,             0.00042156,             0.00042156
                      3,                 1.3655,                 1.0947,                 1.1864,                0.74712,                0.56645,                0.64347,                0.37702,                 1.6018,                 1.5004,                  1.367,             0.00059993,             0.00059993,             0.00059993
                      4,                 1.2917,                0.90618,                 1.1452,                0.87291,                0.80139,                0.88076,                0.54122,                 1.3907,                0.92326,                 1.2551,             0.00056795,             0.00056795,             0.00056795
                      5,                 1.2152,                0.78269,                 1.1132,                 0.9152,                0.87418,                0.92641,                0.61772,                 1.1637,                 0.6785,                 1.1349,             0.00056795,             0.00056795,             0.00056795
                      6,                 1.1422,                0.70887,                 1.0841,                0.92088,                 0.8808,                 0.9298,                 0.6283,                 1.1697,                 0.6669,                 1.1331,             0.00053493,             0.00053493,             0.00053493
                      7,                 1.1002,                0.66408,                 1.0664,                0.94017,                0.90844,                0.94995,                0.65517,                 1.1048,                0.58937,                 1.1078,             0.00050192,             0.00050192,             0.00050192
                      8,                 1.0534,                0.62313,                 1.0464,                0.94528,                0.91114,                0.95017,                0.67993,                 1.0357,                0.53863,                 1.0746,              0.0004689,              0.0004689,              0.0004689
                      9,                 1.0192,                 0.5889,                  1.034,                 0.9505,                0.91617,                 0.9511,                0.68891,                 1.0289,                0.52319,                 1.0782,             0.00043588,             0.00043588,             0.00043588
                     10,                0.98437,                0.56684,                 1.0213,                0.95743,                0.92802,                0.96263,                0.70407,                 0.9753,                0.48183,                 1.0494,             0.00040287,             0.00040287,             0.00040287
                     11,                0.97545,                0.53086,                 1.0175,                0.94566,                0.92278,                0.95671,                0.70051,                0.97449,                0.48807,                 1.0433,             0.00036985,             0.00036985,             0.00036985
                     12,                0.93538,                0.50375,                 1.0016,                0.96433,                0.93288,                0.96692,                0.72357,                0.92096,                0.45832,                 1.0275,             0.00033683,             0.00033683,             0.00033683
                     13,                0.89981,                0.47982,                0.98713,                0.96352,                0.93902,                0.97073,                0.73545,                0.88798,                0.44306,                 1.0155,             0.00030382,             0.00030382,             0.00030382
                     14,                0.87176,                 0.4631,                0.97436,                0.96615,                0.93719,                0.97164,                0.74704,                0.88175,                0.42795,                 1.0102,              0.0002708,              0.0002708,              0.0002708
                     15,                0.84112,                0.44525,                 0.9629,                0.96842,                0.93927,                0.97382,                 0.7523,                 0.8387,                0.40776,                0.99737,             0.00023779,             0.00023779,             0.00023779
                     16,                0.81262,                0.43246,                 0.9522,                0.96646,                0.94241,                0.97415,                0.76452,                0.81529,                0.39877,                0.98382,             0.00020477,             0.00020477,             0.00020477
                     17,                0.79137,                0.41877,                0.94518,                0.96622,                0.94306,                0.97368,                0.76848,                0.79708,                0.39262,                 0.9807,             0.00017175,             0.00017175,             0.00017175
                     18,                0.76726,                0.40627,                0.93718,                0.96831,                0.94664,                0.97577,                0.77624,                0.78082,                0.37864,                0.97711,             0.00013874,             0.00013874,             0.00013874
                     19,                0.74322,                0.39158,                 0.9272,                0.96867,                 0.9483,                0.97715,                0.78778,                0.75578,                0.36881,                0.96679,             0.00010572,             0.00010572,             0.00010572
                     20,                0.72267,                 0.3819,                0.91982,                 0.9697,                0.94774,                0.97714,                0.79199,                0.74608,                0.36241,                0.96481,             7.2703e-05,             7.2703e-05,             7.2703e-05
