                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7921,                 3.2116,                 1.4443,                0.59195,                0.46827,                0.50067,                0.24248,                 1.8356,                  2.247,                 1.5915,              0.0033108,              0.0033108,              0.0033108
                      2,                 1.4887,                 1.6069,                 1.2441,                 0.7286,                0.65532,                 0.7232,                0.41691,                 1.5224,                 1.5908,                 1.3782,              0.0066277,              0.0066277,              0.0066277
                      3,                 1.4201,                 1.3383,                 1.2118,                0.52544,                0.35699,                0.34168,                0.17104,                 1.9165,                 2.7713,                 1.8016,              0.0099281,              0.0099281,              0.0099281
                      4,                 1.3946,                 1.1567,                 1.2032,                0.79672,                0.69946,                0.77731,                0.44492,                 1.5497,                 1.2479,                 1.3632,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.2865,                0.93649,                 1.1527,                0.76267,                0.68263,                0.74207,                 0.4572,                 1.4273,                 1.1168,                 1.3048,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.2205,                 0.8289,                 1.1234,                0.91314,                0.80267,                0.87326,                0.57993,                 1.2292,                0.78986,                  1.193,               0.009901,               0.009901,               0.009901
                      7,                 1.1661,                0.75215,                 1.1007,                0.88644,                0.80612,                0.88278,                0.55652,                 1.3071,                0.83736,                 1.2164,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.1285,                0.70868,                 1.0838,                0.84459,                0.73606,                0.83298,                0.52247,                 1.3718,                  1.041,                 1.2811,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.0984,                0.68057,                 1.0731,                0.91327,                0.80914,                0.85907,                0.57515,                 1.2599,                0.74971,                 1.2175,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.0801,                0.65357,                 1.0659,                0.91511,                0.85369,                0.91131,                0.62112,                 1.1319,                0.65306,                 1.1391,               0.009802,               0.009802,               0.009802
                     11,                 1.0484,                 0.6257,                 1.0548,                0.95568,                 0.9113,                0.95264,                0.67378,                 1.0507,                0.54318,                 1.0925,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.0249,                0.60869,                 1.0432,                0.93765,                0.89368,                0.94099,                0.66137,                 1.0579,                 0.5696,                 1.1045,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.0038,                0.59007,                  1.037,                 0.9508,                0.88524,                0.93672,                0.66237,                  1.032,                0.55658,                 1.0935,              0.0097278,              0.0097278,              0.0097278
                     14,                0.98939,                0.57514,                 1.0287,                 0.9559,                0.92482,                0.95662,                0.69433,                0.99311,                0.49774,                 1.0712,               0.009703,               0.009703,               0.009703
                     15,                0.97465,                 0.5646,                 1.0236,                0.95835,                0.92232,                0.95787,                0.69598,                0.96679,                0.49489,                  1.066,              0.0096783,              0.0096783,              0.0096783
                     16,                0.96135,                0.55371,                  1.019,                0.95129,                0.92775,                0.96012,                0.69928,                0.96097,                0.49247,                  1.067,              0.0096535,              0.0096535,              0.0096535
                     17,                0.94648,                0.54341,                 1.0095,                0.96696,                 0.9273,                0.96179,                0.71348,                0.94629,                 0.4684,                 1.0588,              0.0096288,              0.0096288,              0.0096288
                     18,                0.94482,                   0.54,                 1.0122,                 0.9619,                 0.9301,                0.96424,                0.71652,                0.93171,                0.47498,                 1.0449,               0.009604,               0.009604,               0.009604
                     19,                0.93956,                0.53915,                 1.0106,                0.95861,                0.93118,                0.96374,                0.72063,                0.92204,                0.46426,                 1.0491,              0.0095793,              0.0095793,              0.0095793
                     20,                0.92483,                0.52427,                 1.0064,                0.95996,                 0.9229,                0.96108,                0.71986,                0.92779,                0.46535,                 1.0486,              0.0095545,              0.0095545,              0.0095545
                     21,                0.91384,                0.51702,                0.99803,                0.96138,                0.93614,                0.96663,                 0.7268,                0.90967,                0.44718,                 1.0349,              0.0095298,              0.0095298,              0.0095298
                     22,                0.89988,                0.51274,                0.99594,                0.96579,                0.93163,                0.96676,                0.72247,                0.92136,                0.45385,                 1.0436,               0.009505,               0.009505,               0.009505
                     23,                0.89077,                0.50078,                0.98944,                0.96073,                0.93497,                0.96791,                0.73743,                0.88003,                0.42814,                 1.0279,              0.0094803,              0.0094803,              0.0094803
                     24,                0.88856,                0.50267,                 0.9904,                0.96801,                0.93745,                0.96999,                0.74783,                0.86231,                 0.4211,                 1.0162,              0.0094555,              0.0094555,              0.0094555
                     25,                0.88664,                0.49659,                0.99075,                0.97118,                0.94013,                0.97073,                 0.7433,                0.86272,                0.42184,                 1.0184,              0.0094307,              0.0094307,              0.0094307
                     26,                 0.8786,                0.49566,                0.98658,                0.96469,                0.93983,                0.96692,                0.74117,                0.86371,                0.41918,                 1.0218,               0.009406,               0.009406,               0.009406
                     27,                0.87292,                0.49134,                0.98223,                0.96897,                0.94221,                0.97026,                0.75116,                0.83631,                0.41392,                 1.0112,              0.0093813,              0.0093813,              0.0093813
                     28,                0.86763,                0.48589,                 0.9835,                0.96824,                0.94136,                0.97236,                 0.7583,                0.82685,                0.40091,                 1.0023,              0.0093565,              0.0093565,              0.0093565
                     29,                0.86143,                0.48339,                0.97869,                 0.9654,                0.94216,                0.97199,                0.76073,                0.80821,                0.39901,                 1.0002,              0.0093317,              0.0093317,              0.0093317
                     30,                0.85807,                0.47967,                0.97691,                0.96806,                0.94085,                 0.9718,                0.75508,                0.82348,                0.40544,                  1.004,               0.009307,               0.009307,               0.009307
                     31,                0.85104,                0.47651,                0.97516,                0.96622,                0.94251,                 0.9712,                0.76254,                0.80862,                0.39572,                0.99698,              0.0092823,              0.0092823,              0.0092823
                     32,                 0.8479,                0.47172,                0.97388,                0.96816,                0.94187,                  0.973,                0.75379,                0.83388,                0.39744,                 1.0077,              0.0092575,              0.0092575,              0.0092575
                     33,                0.84782,                0.47167,                0.97518,                0.97048,                0.94173,                0.97302,                0.76459,                0.83236,                0.39338,                  1.004,              0.0092327,              0.0092327,              0.0092327
                     34,                0.84328,                0.46922,                 0.9714,                0.97194,                0.94758,                0.97578,                0.77305,                0.79899,                0.38238,                0.99425,               0.009208,               0.009208,               0.009208
                     35,                0.83581,                0.46423,                0.96984,                0.96938,                0.94338,                0.97386,                0.77157,                0.81091,                0.39084,                0.99885,              0.0091833,              0.0091833,              0.0091833
                     36,                0.83148,                0.46355,                0.97029,                0.97328,                0.94062,                0.97335,                0.75427,                0.82337,                0.38995,                  1.003,              0.0091585,              0.0091585,              0.0091585
                     37,                0.82385,                0.45957,                0.96294,                0.96732,                0.94374,                 0.9747,                0.77331,                0.79055,                0.37631,                0.99196,              0.0091337,              0.0091337,              0.0091337
                     38,                0.82646,                 0.4589,                0.96668,                0.96799,                0.94606,                0.97608,                 0.7791,                0.77091,                0.37222,                0.98007,               0.009109,               0.009109,               0.009109
                     39,                0.82203,                0.45779,                0.96544,                0.97332,                0.94697,                0.97578,                0.78344,                0.76477,                0.36947,                0.98481,              0.0090843,              0.0090843,              0.0090843
                     40,                0.81932,                 0.4545,                0.96508,                  0.974,                0.94533,                0.97768,                0.78269,                0.76121,                0.36666,                0.97559,              0.0090595,              0.0090595,              0.0090595
                     41,                0.82175,                 0.4568,                0.96606,                0.97812,                0.94434,                0.97845,                0.78751,                0.75074,                0.36025,                0.97705,              0.0090347,              0.0090347,              0.0090347
                     42,                0.81216,                0.44901,                0.95934,                0.97442,                0.94549,                0.97742,                 0.7818,                0.75525,                0.36219,                0.97336,                0.00901,                0.00901,                0.00901
                     43,                0.80941,                0.44728,                0.95937,                0.97204,                0.94975,                0.97811,                0.78993,                 0.7465,                0.35974,                0.97294,              0.0089853,              0.0089853,              0.0089853
                     44,                0.80617,                0.44438,                0.96001,                0.97702,                0.94987,                0.97982,                0.79272,                0.74057,                0.35612,                0.98208,              0.0089605,              0.0089605,              0.0089605
                     45,                0.80465,                0.44354,                0.95845,                0.97294,                 0.9485,                0.97894,                0.79111,                0.73803,                0.35168,                0.97152,              0.0089358,              0.0089358,              0.0089358
                     46,                0.79242,                0.43846,                0.94971,                0.97377,                0.95432,                0.97913,                0.79573,                0.73284,                0.34976,                0.97186,               0.008911,               0.008911,               0.008911
                     47,                0.79478,                0.43958,                0.95489,                0.97878,                0.94944,                0.97949,                0.79588,                0.72273,                0.34698,                0.96208,              0.0088863,              0.0088863,              0.0088863
                     48,                0.78962,                0.43506,                0.95151,                0.97014,                0.95531,                0.97936,                0.79757,                0.73378,                0.34631,                0.96768,              0.0088615,              0.0088615,              0.0088615
                     49,                0.79476,                0.43709,                0.95316,                0.97051,                0.95576,                 0.9799,                0.79854,                  0.721,                0.34104,                0.96911,              0.0088368,              0.0088368,              0.0088368
                     50,                0.79109,                0.43777,                0.95381,                0.97364,                 0.9513,                0.97956,                0.79756,                0.72136,                0.34521,                0.96195,               0.008812,               0.008812,               0.008812
                     51,                 0.7901,                0.43495,                0.95315,                0.96892,                0.95678,                0.98114,                0.80297,                0.70666,                 0.3374,                0.96062,              0.0087872,              0.0087872,              0.0087872
                     52,                0.79127,                0.43692,                0.95417,                0.97029,                0.95585,                0.98064,                0.80112,                 0.7075,                0.33978,                0.96341,              0.0087625,              0.0087625,              0.0087625
                     53,                0.78681,                0.43321,                0.95276,                0.97767,                0.95322,                0.98143,                0.80391,                0.71154,                0.33556,                0.96342,              0.0087378,              0.0087378,              0.0087378
                     54,                0.78179,                0.43071,                0.94924,                0.97586,                 0.9536,                0.98106,                0.80357,                0.70806,                0.33548,                0.95794,               0.008713,               0.008713,               0.008713
                     55,                0.77916,                0.42974,                0.94636,                0.97329,                0.95909,                0.98198,                0.80605,                0.69888,                0.33217,                0.95556,              0.0086882,              0.0086882,              0.0086882
                     56,                0.78233,                0.42895,                0.94915,                 0.9784,                0.95353,                0.98178,                0.80844,                0.69391,                0.32964,                0.95512,              0.0086635,              0.0086635,              0.0086635
                     57,                0.77573,                0.42692,                 0.9474,                0.97663,                0.95822,                0.98099,                0.80794,                0.69622,                0.32801,                0.95837,              0.0086388,              0.0086388,              0.0086388
                     58,                0.77756,                0.42528,                0.94814,                0.97788,                0.95647,                0.98137,                0.80804,                0.69367,                 0.3279,                0.95845,               0.008614,               0.008614,               0.008614
                     59,                0.76683,                 0.4231,                0.94286,                0.97805,                  0.956,                0.98189,                0.81343,                0.68753,                0.32517,                0.95709,              0.0085893,              0.0085893,              0.0085893
                     60,                0.76984,                0.42166,                0.94521,                0.97412,                0.95953,                0.98148,                0.81155,                0.69081,                0.32455,                0.95773,              0.0085645,              0.0085645,              0.0085645
                     61,                0.76975,                0.42434,                 0.9466,                0.96814,                0.96066,                0.98111,                0.81135,                0.68276,                0.32395,                0.95158,              0.0085398,              0.0085398,              0.0085398
                     62,                0.77347,                 0.4237,                0.94821,                 0.9714,                0.95822,                0.98223,                0.81411,                0.67267,                 0.3192,                0.95172,               0.008515,               0.008515,               0.008515
                     63,                0.75997,                0.41651,                0.94253,                0.97456,                0.95796,                0.98254,                0.81401,                0.67714,                0.31966,                0.95327,              0.0084903,              0.0084903,              0.0084903
                     64,                0.76696,                0.42045,                0.94206,                0.97488,                0.96098,                 0.9826,                0.81619,                0.67324,                0.31792,                0.95135,              0.0084655,              0.0084655,              0.0084655
                     65,                0.76229,                0.41585,                0.94415,                0.97696,                0.95898,                0.98292,                0.81928,                0.67029,                 0.3166,                0.95041,              0.0084408,              0.0084408,              0.0084408
